departure_time,destination
06:25,つばめ303 鹿児島中央
06:43,つばめ302 　　　小倉
06:49,つばめ305 鹿児島中央
07:15,つばめ307 鹿児島中央
07:24,つばめ306 　　　博多
07:45,つばめ309 鹿児島中央
07:52,つばめ308 　　　博多
08:24,さくら744 　　新大阪
08:27,つばめ311 鹿児島中央
08:51,さくら401 鹿児島中央
08:55,つばめ310 　　　博多
09:25,さくら746 　　新大阪
09:33,さくら403 鹿児島中央
10:21,さくら743 鹿児島中央
10:24,さくら750 　　新大阪
11:27,さくら752 　　新大阪
11:31,さくら745 鹿児島中央
12:03,さくら402 　　　博多
12:54,さくら749 鹿児島中央
13:03,さくら404 　　　博多
14:27,さくら758 　　新大阪
14:29,さくら405 鹿児島中央
14:54,さくら753 鹿児島中央
15:28,さくら762 　　新大阪
16:28,さくら766 　　新大阪
16:29,さくら407 鹿児島中央
17:05,つばめ328 　　　博多
17:29,さくら409 鹿児島中央
17:50,さくら770 　　新大阪
18:29,さくら411 鹿児島中央
18:47,さくら406 　　　博多
18:54,さくら761 鹿児島中央
19:41,つばめ334 　　　博多
19:57,さくら763 鹿児島中央
20:16,つばめ336 　　　博多
20:56,さくら408 　　　広島
20:57,さくら765 鹿児島中央
21:41,つばめ338 　　　博多
22:17,つばめ389 鹿児島中央
22:19,つばめ340 　　　博多
23:01,さくら410 　　　博多
23:11,つばめ343 鹿児島中央
23:46,つばめ342 　　　熊本
